feature,lag_days,pearson,abs_pearson,n
trends_turkiye_side_otel,28,0.399829,0.399829,1131
trends_turkiye_side_otel,21,0.366691,0.366691,1152
trends_turkiye_side_otel,14,0.26647,0.26647,1176
trends_germany_alanya_hotel,7,0.255002,0.255002,1204
trends_germany_alanya_hotel,28,0.251241,0.251241,1131
trends_turkiye_side_otel,7,0.24974,0.24974,1204
trends_germany_alanya_hotel,21,0.229558,0.229558,1152
trends_turkiye_alanya_otel_fiyatlari,21,0.229107,0.229107,1152
trends_turkiye_alanya_otel_fiyatlari,14,0.226285,0.226285,1176
trends_turkiye_alanya_otel_fiyatlari,7,0.216645,0.216645,1204
trends_netherlands_hotel_alanya,28,0.207813,0.207813,1131
trends_netherlands_hotel_alanya,21,0.197113,0.197113,1152
trends_turkiye_antalya_tatil,28,0.191652,0.191652,1131
trends_turkiye_alanya_otel_fiyatlari,28,0.190455,0.190455,1131
trends_netherlands_alanya_hotel,28,0.186575,0.186575,1131
trends_turkiye_alanya_otel,28,0.180743,0.180743,1131
trends_netherlands_antalya_hotel,28,0.17807,0.17807,1131
trends_germany_turkei_antalya_hotel,21,0.17375,0.17375,1152
trends_netherlands_alanya_hotel,21,0.170014,0.170014,1152
trends_germany_alanya_hotel,14,0.169673,0.169673,1176
trends_germany_turkei_antalya_hotel,28,0.166635,0.166635,1131
trends_united_kingdom_antalya_holiday,28,0.165362,0.165362,1131
trends_germany_turkei_antalya_hotel,14,0.161022,0.161022,1176
trends_netherlands_antalya_hotel,21,0.159653,0.159653,1152
trends_netherlands_hotel_alanya,14,0.153244,0.153244,1176
trends_netherlands_antalya_hotel,14,0.151065,0.151065,1176
trends_germany_antalya_hotel,28,0.150575,0.150575,1131
trends_netherlands_antalya_strandvakantie,28,0.149301,0.149301,1131
trends_netherlands_alanya_hotel,14,0.146514,0.146514,1176
trends_turkiye_antalya_tatil,21,0.145964,0.145964,1152
trends_germany_turkei_antalya_hotel,7,0.142439,0.142439,1204
trends_netherlands_antalya_strandvakantie,21,0.141485,0.141485,1152
trends_netherlands_hotel_alanya,7,0.141409,0.141409,1204
trends_united_kingdom_alanya_hotel,28,0.137454,0.137454,1131
trends_netherlands_antalya_hotel,7,0.137299,0.137299,1204
trends_united_kingdom_antalya_holiday,21,0.133402,0.133402,1152
trends_netherlands_alanya_hotel,7,0.129476,0.129476,1204
trends_germany_antalya_hotel,21,0.129455,0.129455,1152
trends_united_kingdom_antalya_hotel,28,0.127115,0.127115,1131
trends_germany_hotel_turkei_side,28,0.126588,0.126588,1131
trends_turkiye_antalya_tatil,14,0.123019,0.123019,1176
trends_netherlands_antalya_strandvakantie,14,0.121756,0.121756,1176
trends_united_kingdom_antalya_holiday,14,0.118891,0.118891,1176
trends_turkiye_alanya_otel,21,0.113047,0.113047,1152
trends_germany_antalya_hotel,14,0.111367,0.111367,1176
trends_united_kingdom_alanya_hotel,21,0.107302,0.107302,1152
trends_united_kingdom_antalya_hotel,21,0.105004,0.105004,1152
trends_germany_hotel_turkei_side,21,0.104356,0.104356,1152
trends_turkiye_antalya_tatil,7,0.10333,0.10333,1204
trends_netherlands_antalya_strandvakantie,7,0.098389,0.098389,1204
trends_germany_hotel_turkei_side,14,0.095512,0.095512,1176
trends_united_kingdom_antalya_holiday,7,0.094901,0.094901,1204
trends_united_kingdom_alanya_hotel,14,0.086977,0.086977,1176
trends_germany_antalya_hotel,7,0.086504,0.086504,1204
trends_united_kingdom_antalya_hotel,14,0.082499,0.082499,1176
trends_turkiye_alanya_otel,14,0.079325,0.079325,1176
trends_germany_hotel_turkei_side,7,0.076521,0.076521,1204
trends_united_kingdom_things_to_do_in_antalya,28,0.075653,0.075653,1131
trends_united_kingdom_alanya_hotel,7,0.070771,0.070771,1204
trends_united_kingdom_antalya_hotel,7,0.062164,0.062164,1204
trends_turkiye_alanya_otel,7,0.056473,0.056473,1204
trends_united_kingdom_things_to_do_in_antalya,21,0.051241,0.051241,1152
trends_united_kingdom_things_to_do_in_antalya,14,0.029337,0.029337,1176
trends_united_kingdom_things_to_do_in_antalya,7,0.024551,0.024551,1204
