fold,dataset,model,hotel_name,test_rows,MAE,RMSE,R2
1,baseline_calendar_autoreg_walk_forward,RandomForest,Side Mare Hotel,69,2.3832939602892633,3.291142317755404,-0.30612921820574224
1,baseline_calendar_autoreg_walk_forward,RandomForest,Azura Deluxe,69,4.327257654668145,6.868685283824886,-4.963182824850438
1,baseline_calendar_autoreg_walk_forward,Ridge,Side Mare Hotel,69,6.533280587503492,8.508002729918282,-7.728669713633636
1,baseline_calendar_autoreg_walk_forward,Ridge,Azura Deluxe,69,6.872041181354913,8.889724063930457,-8.988665050815138
1,baseline_plus_trends_walk_forward,RandomForest,Side Mare Hotel,69,2.374956865035541,3.3702945569056535,-0.3697097185466538
1,baseline_plus_trends_walk_forward,RandomForest,Azura Deluxe,69,4.1451713624681545,6.5756891131591075,-4.465292793236036
1,baseline_plus_trends_walk_forward,Ridge,Side Mare Hotel,69,4.599657678867505,6.1063208125599555,-3.4962665989822677
1,baseline_plus_trends_walk_forward,Ridge,Azura Deluxe,69,4.798789808565414,6.8692121288664305,-4.964097641488645
2,baseline_calendar_autoreg_walk_forward,RandomForest,Side Mare Hotel,61,10.270754379357884,12.741252156673362,0.2279881050345115
2,baseline_calendar_autoreg_walk_forward,RandomForest,Azura Deluxe,68,12.865710823496554,18.760435359366312,0.4807549010400778
2,baseline_calendar_autoreg_walk_forward,Ridge,Side Mare Hotel,61,11.39872882464557,14.787528477620231,-0.039898515935520296
2,baseline_calendar_autoreg_walk_forward,Ridge,Azura Deluxe,68,17.6445417953362,26.1583544482329,-0.009502552607849157
2,baseline_plus_trends_walk_forward,RandomForest,Side Mare Hotel,61,10.160427139554079,12.850995810791757,0.21463176022902597
2,baseline_plus_trends_walk_forward,RandomForest,Azura Deluxe,68,13.063823402564942,18.585383087926722,0.49039976959085574
2,baseline_plus_trends_walk_forward,Ridge,Side Mare Hotel,61,10.574053536559656,13.36845396187604,0.1501111336329588
2,baseline_plus_trends_walk_forward,Ridge,Azura Deluxe,68,17.167129654351665,24.19324042577236,0.13647550040410972
3,baseline_calendar_autoreg_walk_forward,RandomForest,Side Mare Hotel,68,2.566653519494377,3.5529525973215064,0.2704408289224326
3,baseline_calendar_autoreg_walk_forward,RandomForest,Azura Deluxe,68,4.062220992787881,6.162226975655398,0.18703684926379516
3,baseline_calendar_autoreg_walk_forward,Ridge,Side Mare Hotel,68,5.649345050031435,6.526340352822401,-1.4616206827419838
3,baseline_calendar_autoreg_walk_forward,Ridge,Azura Deluxe,68,5.3019195124887135,7.382345871524142,-0.166767319273196
3,baseline_plus_trends_walk_forward,RandomForest,Side Mare Hotel,68,2.740535146553114,3.7055306252574267,0.20643499366543305
3,baseline_plus_trends_walk_forward,RandomForest,Azura Deluxe,68,3.8763676939140015,5.998720920742056,0.2296061725955909
3,baseline_plus_trends_walk_forward,Ridge,Side Mare Hotel,68,4.929832808555027,6.096308984546903,-1.1479078038886872
3,baseline_plus_trends_walk_forward,Ridge,Azura Deluxe,68,4.954901335212432,6.798030305664129,0.010623315141976342
4,baseline_calendar_autoreg_walk_forward,RandomForest,Side Mare Hotel,68,2.8924009290235047,3.81660596563424,0.9756705538174488
4,baseline_calendar_autoreg_walk_forward,RandomForest,Azura Deluxe,68,4.891933880084485,7.659762682002152,0.9134812478947889
4,baseline_calendar_autoreg_walk_forward,Ridge,Azura Deluxe,68,11.913564078840428,18.01991339582818,0.5211659595513063
4,baseline_calendar_autoreg_walk_forward,Ridge,Side Mare Hotel,68,11.371804073911465,18.056601450205303,0.4554351593275483
4,baseline_plus_trends_walk_forward,RandomForest,Side Mare Hotel,68,2.94222940553679,3.753151526245837,0.9764728256628112
4,baseline_plus_trends_walk_forward,RandomForest,Azura Deluxe,68,4.812365286138909,7.32277999611333,0.9209263855002978
4,baseline_plus_trends_walk_forward,Ridge,Side Mare Hotel,68,9.155026869999896,16.218762548798818,0.560647598497461
4,baseline_plus_trends_walk_forward,Ridge,Azura Deluxe,68,9.614012419924935,16.229548669849155,0.6115881212841505
