dataset,model,train_rows,test_rows,test_start_date,test_end_date,MAE,RMSE,R2,fold
baseline_calendar_autoreg_walk_forward,RandomForest,538,138,2024-08-20,2024-10-27,3.355275807478699,5.385650159634996,-2.569524307094005,1
baseline_calendar_autoreg_walk_forward,Ridge,538,138,2024-08-20,2024-10-27,6.702660884429202,8.70095696992926,-8.31682862640144,1
baseline_plus_trends_walk_forward,RandomForest,538,138,2024-08-20,2024-10-27,3.2546187853723914,5.2425825504889225,-2.3823973136465706,1
baseline_plus_trends_walk_forward,Ridge,538,138,2024-08-20,2024-10-27,6.325131214481399,8.490469103518482,-7.871507770218173,1
baseline_calendar_autoreg_walk_forward,RandomForest,676,129,2024-10-28,2025-06-25,11.638638396423227,16.195409788267227,0.464052511914684,2
baseline_calendar_autoreg_walk_forward,Ridge,676,129,2024-10-28,2025-06-25,14.691095351831327,21.542922255931753,0.05169599339538988,2
baseline_plus_trends_walk_forward,RandomForest,676,129,2024-10-28,2025-06-25,11.61947522727225,16.12832152179875,0.4684835595127256,2
baseline_plus_trends_walk_forward,Ridge,676,129,2024-10-28,2025-06-25,14.095111687976344,21.043946871558784,0.09511633057110325,2
baseline_calendar_autoreg_walk_forward,RandomForest,805,136,2025-06-26,2025-09-01,3.314437256141138,5.029737242555961,0.21308144537458062,3
baseline_calendar_autoreg_walk_forward,Ridge,805,136,2025-06-26,2025-09-01,5.47563228126008,6.967501308492438,-0.5100568855220555,3
baseline_plus_trends_walk_forward,RandomForest,805,136,2025-06-26,2025-09-01,3.269356656268727,4.971805696857331,0.23110420581906854,3
baseline_plus_trends_walk_forward,Ridge,805,136,2025-06-26,2025-09-01,5.9999151397318755,7.5222910962704725,-0.7601085856456486,3
baseline_calendar_autoreg_walk_forward,RandomForest,941,136,2025-09-02,2025-11-08,3.892167404553994,6.051381885218769,0.9427969163587185,4
baseline_calendar_autoreg_walk_forward,Ridge,941,136,2025-09-02,2025-11-08,11.642684076375948,18.038266750504384,0.4917236188385268,4
baseline_plus_trends_walk_forward,RandomForest,941,136,2025-09-02,2025-11-08,3.8552463391444425,5.7959449412877255,0.9475242297916002,4
baseline_plus_trends_walk_forward,Ridge,941,136,2025-09-02,2025-11-08,9.801247774553369,15.06501402371128,0.6454729313972447,4
